commodity;categoria;categoria_planning;categoria_gpc;product_group;marca_gpc;cod_produto;produto;peso_liquido_caixa;unidades_caixa;peso_liquido_unitario
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;8K6;HAIR SPRAY DOVE DAY 2;2,364;12;0,19700
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;SEDA;8PK;HAIR SUPER CO SEDA 170ML;1,999;12;0,16658
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;SEDA;9FV;HAIR CRPE SEDA BOOM 400ML;4,705;12;0,39208
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;LOVE BEAUTY;9K6;HAIR SH+CO LOVE BEAUTY 300ML;4,812;8;0,60150
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;SEDA;9KG;HAIR CRPE SEDA REGULAR 700ML;8,324;12;0,69367
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;NEXXUS;9N2;HAIR SACHET NEXXUS 30G;0,720;24;0,03000
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;SEDA;9TT;HAIR CO SEDA 425ML;4,998;12;0,41650
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;SEDA;9TV;HAIR CO SEDA TRIPACK;3,861;4;0,96525
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;SEDA;9TX;HAIR SH SEDA 425ML;5,238;12;0,43650
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;SEDA;9TZ;HAIR SH SEDA TRIPACK;4,005;4;1,00125
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;DOVE;AMB;HAIR SH DOVE 670ML LV+ PG-;8,300;12;0,69167
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;SEDA;AMF;HAIR SH SEDA 670ML LV+ PG-;8,257;12;0,68808
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;TRESEMME;AMH;HAIR SH TRESEMME 670ML LV+ PG-;8,305;12;0,69208
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;AVO;HAIR SACHE 1 MIN DOVE 23G;0,563;24;0,02346
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;TRESEMME;AVS;HAIR PROTETOR TERMICO TRESEMME 120ML;0,720;6;0,12000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;TRESEMME;AVU;HAIR OLEO FINALIZADOR TRESEMME 120ML;0,720;6;0,12000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;LOVE BEAUTY;AVY;HAIR TONICO LOVE BEAUTY PLANET;1,440;12;0,12000
BEAUTY;HAIR;HAIR;HAIR;MODELADOR;DOVE;AXO;HAIR GEL DOVE MEN 150G;1,800;12;0,15000
BEAUTY;HAIR;HAIR;HAIR;MODELADOR;CLEAR;AXQ;HAIR GEL CLEAR 300G;1,800;6;0,30000
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;SUAVE;AZF;HAIR SH SUAVE MEN REGULAR;3,974;12;0,33117
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;DOVE;B1N;HAIR CO DOVE 300ML;1,746;6;0,29100
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;DOVE;B1P;HAIR SH DOVE 300ML;1,854;6;0,30900
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;B1R;HAIR CRTR DOVE 190G;1,140;6;0,19000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;TRESEMME;B3U;HAIR SERUM TRESEMME 170ML;2,040;12;0,17000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;B9P;HAIR CRTR DOVE 500G;3,000;6;0,50000
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;DOVE;BRK;HAIR SH+CO DOVE PODER DAS PLANTAS;3,600;6;0,60000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;SEDA;BSZ;HAIR CRPE SEDA 350ML;4,162;12;0,34683
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;SEDA;BT1;HAIR CRTR SEDA 500G;3,000;6;0,50000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;BT3;HAIR CRPE DOVE 355ML;4,388;12;0,36567
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;BT5;HAIR BOOSTER DOVE 30ML;0,454;12;0,03783
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;DOVE;C1H;HAIR SH DOVE MEN+CARE 200ML;2,468;12;0,20567
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;DOVE;C2T;HAIR SH 350ML+CO 175ML DOVE - PR ESP;4,260;8;0,53250
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;CLEAR;C7Z;HAIR CO CLEAR FEM ANTIQUEDA 300ML;3,492;12;0,29100
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;CLEAR;C80;HAIR SH CLEAR MASC ANTIQUEDA 300ML;3,708;12;0,30900
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;CLEAR;C81;HAIR SH CLEAR FEM ANTIQUEDA 300ML;3,708;12;0,30900
BEAUTY;HAIR;HAIR;HAIR;TONICO;CLEAR;C82;HAIR TON CLEAR MASC ANTIQUEDA 100ML;0,603;6;0,10050
BEAUTY;HAIR;HAIR;HAIR;TONICO;CLEAR;C83;HAIR TON CLEAR FEM ANTIQUEDA 60ML;0,362;6;0,06033
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;TRESEMME;C97;HAIR CO TRESEMME 650ML;7,644;12;0,63700
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;TRESEMME;C99;HAIR SH 350+CO175 TRESEMME - PR ESP;9,464;16;0,59150
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;TRESEMME;C9B;HAIR SH TRESEMME 650ML;8,034;12;0,66950
BEAUTY;HAIR;HAIR;HAIR;FINALIZADOR;TRESEMME;C9I;HAIR SPRAY FINALIZADOR TRESEMME 60ML;0,674;12;0,05617
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;TRESEMME;C9L;HAIR CRPE TRESEMME 380ML;4,469;12;0,37242
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;CA1;HAIR SERUM DOVE 110ML;0,656;6;0,10933
BEAUTY;HAIR;HAIR;HAIR;FINALIZADOR;TRESEMME;CA9;HAIR SPRAY FINALIZADOR TRESEMME 110ML;1,320;12;0,11000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;TRESEMME;CAA;HAIR PROTETOR TERMICO TRESEMME 110ML;1,320;12;0,11000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;CAP;HAIR CRTR DOVE 270G;1,620;6;0,27000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;CAS;HAIR CRPE DOVE 200ML;2,390;12;0,19917
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;CAU;HAIR TRAT NOTURNO DOVE 175ML;1,040;6;0,17333
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;CAV;HAIR SERUM MULTI DOVE 175ML;1,040;6;0,17333
BEAUTY;HAIR;HAIR;HAIR;OFERTAS HAIR;CLEAR;CBE;HAIR SH CLEAR MEN 200+30ML GRATIS;2,482;12;0,20683
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;CBX;HAIR SERUM DOVE 50ML;0,296;6;0,04933
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;CBY;HAIR OLEO FINAL DOVE 110ML;0,650;6;0,10833
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;NEXXUS;CC2;HAIR CO NEXXUS 750ML;8,820;12;0,73500
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;NEXXUS;CC3;HAIR CRTR NEXXUS 300G;1,800;6;0,30000
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;NEXXUS;CC4;HAIR SH NEXXUS 750ML;9,270;12;0,77250
BEAUTY;HAIR;HAIR;HAIR;FINALIZADOR;SEDA;CD6;GEL SEDA 500G;3,000;6;0,50000
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;SEDA;CDP;HAIR CO SEDA 250ML;2,960;12;0,24667
BEAUTY;HAIR;HAIR;HAIR;FINALIZADOR;SEDA;CDQ;DAY AFTER SEDA 350ML;2,100;6;0,35000
BEAUTY;HAIR;HAIR;HAIR;FINALIZADOR;SEDA;CDR;GELEIA SEDA 500G;3,000;6;0,50000
BEAUTY;HAIR;HAIR;HAIR;FINALIZADOR;SEDA;CDS;SEDA DAY AFTER 200ML;1,190;6;0,19833
BEAUTY;HAIR;HAIR;HAIR;FINALIZADOR;SEDA;CDT;SERUM GEL SEDA 200ML;1,220;6;0,20333
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;SEDA;CDU;HAIR SH SEDA 250ML;3,090;12;0,25750
BEAUTY;PROFESSIONALS;PROFESSIONAL PC;PROFESSIONALS PC;SHAMPOO;SALON SOLUTIONS;AJ2;SH SALON SOLUTIONS 4,5L;20,380;4;5,09500
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;VASELINA SOLIDA;VASENOL;40B;VASELINA SOLIDA VASENOL;1,200;12;0,10000
BEAUTY;SKIN CARE;BABY;BABY DOVE;LOCOES PARA O CORPO;BABY DOVE;47F;LOCAO DOVE BABY;2,448;12;0,20400
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA O CORPO;VASENOL;60V;LOCAO VASENOL PREMIUM;2,436;12;0,20300
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA AS MAOS;VASENOL;61K;LOCAO VASENOL HAND REPAIR;0,468;6;0,07800
